date,temp_c,wind_kmh,humidity_pct,precip_mm
2021-05-27,22.8,19.4,38,0.1
2021-05-28,14.9,12.1,41,0.0
2021-05-29,18.3,9.2,35,0.0
2021-05-30,21.4,15.6,30,0.0
2021-05-31,24.8,18.4,27,0.2
2021-06-01,27.4,12.8,29,0.1
2021-06-02,24.4,16.9,54,0.6
2021-06-03,21.0,16.2,53,1.4
2021-06-04,15.9,19.6,51,0.5
2021-06-05,13.8,21.6,49,0.7
2021-06-06,18.4,5.0,39,0.0
2021-06-07,22.2,5.5,31,0.0
2021-06-08,23.9,9.7,32,0.0
2021-06-09,17.8,19.8,38,0.0
2021-06-10,17.0,17.7,31,0.0
2021-06-11,16.0,16.3,35,0.0
2021-06-12,15.1,9.9,55,3.8
2021-06-13,17.3,10.8,56,1.8
2021-06-14,21.6,13.0,51,0.0
2021-06-15,22.8,7.6,35,0.0
2021-06-16,25.0,9.7,34,0.0
2021-06-17,26.4,8.8,39,0.0
2021-06-18,27.5,11.5,39,0.0
2021-06-19,15.3,23.0,52,0.2
2021-06-20,15.6,16.8,44,1.7
2021-06-21,13.1,14.6,73,9.8
2021-06-22,13.7,16.6,66,1.8
2021-06-23,13.1,14.7,77,11.0
2021-06-24,12.0,29.5,82,17.8
2021-06-25,13.0,11.8,74,2.0
2021-06-26,15.0,6.9,71,0.2
2021-06-27,19.8,14.3,50,0.0
2021-06-28,23.2,15.3,52,0.3
2021-06-29,21.4,14.6,59,0.0
2021-06-30,23.5,6.8,54,0.0
2021-07-01,26.2,11.3,53,0.0
2021-07-02,25.5,10.0,52,0.0
2021-07-03,25.8,10.0,41,0.0
2021-07-04,28.3,11.4,42,0.0
2021-07-05,29.5,13.8,41,0.0
2021-07-06,25.8,8.3,63,10.0
2021-07-07,19.2,17.7,64,0.6
2021-07-08,19.7,12.8,49,0.0
2021-07-09,20.9,15.4,49,0.0
2021-07-10,19.8,12.8,62,2.8
2021-07-11,21.6,10.3,64,0.1
2021-07-12,23.5,7.1,55,0.0
2021-07-13,22.3,11.9,67,11.1
2021-07-14,17.9,12.1,89,35.6
2021-07-15,13.5,21.4,73,4.2
2021-07-16,15.7,16.5,63,0.6
2021-07-17,19.3,10.8,65,0.1
2021-07-18,19.4,12.0,72,4.2
2021-07-19,20.0,6.9,65,0.0
2021-07-20,21.4,11.1,56,0.0
2021-07-21,21.9,12.8,54,0.0
2021-07-22,22.8,11.3,52,0.0
2021-07-23,23.7,8.9,55,0.0
2021-07-24,25.1,6.6,54,0.0
2021-07-25,26.9,9.7,49,0.0
2021-07-26,22.9,19.0,55,0.5
2021-07-27,18.6,11.5,47,0.0
2021-07-28,19.9,8.1,44,0.0
2021-07-29,20.1,11.7,46,0.2
2021-07-30,19.3,9.1,46,0.0
2021-07-31,22.3,12.3,40,0.0
2021-08-01,25.4,9.3,41,0.0
2021-08-02,26.3,13.4,47,0.0
2021-08-03,24.2,14.2,46,0.0
2021-08-04,22.7,11.0,51,0.0
2021-08-05,21.7,13.2,56,0.6
2021-08-06,22.1,9.4,53,0.0
2021-08-07,25.0,9.3,46,0.0
2021-08-08,22.8,9.7,60,2.5
2021-08-09,18.9,9.1,82,13.9
2021-08-10,18.0,20.4,94,31.1
2021-08-11,18.3,18.1,78,2.8
2021-08-12,17.3,12.6,79,0.4
2021-08-13,15.1,19.3,72,0.3
2021-08-14,15.5,11.3,66,0.0
2021-08-15,18.0,8.7,66,0.0
2021-08-16,20.0,5.8,69,0.0
2021-08-17,21.8,9.8,72,0.3
2021-08-18,22.2,5.4,69,0.1
2021-08-19,21.0,12.5,64,0.2
2021-08-20,20.4,8.5,63,0.0
2021-08-21,19.6,9.2,57,0.0
2021-08-22,19.6,9.1,50,0.0
2021-08-23,20.8,12.4,58,0.0
2021-08-24,24.2,16.0,58,0.0
2021-08-25,22.9,15.7,51,0.0
2021-08-26,23.0,15.6,48,0.0
2021-08-27,22.4,10.7,48,0.0
2021-08-28,22.0,7.7,53,0.0
2021-08-29,20.2,11.6,76,6.3
2021-08-30,14.6,15.4,72,5.5
2021-08-31,14.5,4.5,67,0.0
2021-09-01,14.0,9.9,64,0.1
2021-09-02,13.6,6.7,71,0.0
2021-09-03,15.8,9.2,59,0.0
2021-09-04,17.7,9.8,52,0.0
2021-09-05,21.7,11.8,47,0.0
2021-09-06,19.9,15.2,45,0.0
2021-09-07,18.8,12.0,48,0.0
2021-09-08,15.9,13.9,66,0.2
2021-09-09,12.6,18.7,52,0.0
2021-09-10,14.0,19.1,53,3.2
2021-09-11,13.0,16.7,82,6.7
2021-09-12,10.1,20.9,61,0.6
2021-09-13,10.8,16.1,49,0.3
2021-09-14,12.8,14.9,52,0.0
2021-09-15,15.8,11.3,47,0.0
2021-09-16,18.0,11.6,40,0.0
2021-09-17,17.5,19.5,47,4.8
2021-09-18,10.2,15.2,62,0.0
2021-09-19,9.9,22.0,54,0.0
2021-09-20,7.2,22.1,57,0.0
2021-09-21,6.7,13.5,70,2.0
2021-09-22,6.3,13.3,63,0.1
2021-09-23,6.7,13.4,67,0.7
2021-09-24,5.1,10.9,61,0.0
2021-09-25,7.2,12.0,58,0.0
2021-09-26,4.8,13.9,66,0.0
2021-09-27,4.0,15.0,69,1.3
2021-09-28,6.4,16.0,66,8.3
2021-09-29,6.2,12.5,83,2.1
2021-09-30,4.4,7.0,82,0.9
2021-10-01,5.3,17.1,71,0.7
2021-10-02,3.3,19.4,75,2.1
2021-10-03,4.0,10.5,63,0.8
2021-10-04,3.2,14.6,81,2.2
2021-10-05,1.1,22.3,94,11.5
2021-10-06,2.0,19.1,80,1.0
2021-10-07,2.4,14.3,75,0.0
2021-10-08,5.6,13.8,74,0.0
2021-10-09,6.1,12.6,73,0.0
2021-10-10,5.7,8.1,73,0.0
2021-10-11,3.5,16.6,77,0.2
2021-10-12,0.8,12.4,62,0.8
2021-10-13,6.7,9.8,68,0.3
2021-10-14,6.6,5.7,79,0.0
2021-10-15,5.3,13.0,74,0.0
2021-10-16,3.3,8.7,77,0.0
2021-10-17,3.0,7.9,77,0.0
2021-10-18,4.6,9.1,74,0.0
2021-10-19,5.7,10.0,66,0.0
2021-10-20,6.9,14.2,66,0.0
2021-10-21,8.7,13.6,59,2.0
2021-10-22,4.3,25.3,55,0.3
2021-10-23,7.3,25.4,64,0.8
2021-10-24,11.1,19.4,64,0.0
2021-10-25,8.5,14.3,59,0.0
2021-10-26,7.9,19.7,60,0.0
2021-10-27,-1.4,8.4,66,0.0
2021-10-28,-0.1,14.0,65,0.0
2021-10-29,2.7,19.5,46,0.0
2021-10-30,2.3,13.6,78,0.8
2021-10-31,1.9,24.5,80,4.9
2021-11-01,2.4,18.3,78,1.6
2021-11-02,-3.8,22.0,70,4.5
2021-11-03,-10.3,15.1,60,0.0
2021-11-04,-9.6,13.5,64,0.0
2021-11-05,-4.6,17.8,63,0.4
2021-11-06,-2.3,15.2,58,1.3
2021-11-07,0.5,16.6,49,0.2
2021-11-08,0.6,15.4,44,0.0
2021-11-09,0.3,11.7,60,0.0
2021-11-10,1.8,18.8,57,1.0
2021-11-11,2.5,15.4,68,1.7
2021-11-12,2.1,17.6,65,0.5
2021-11-13,-0.6,16.7,71,1.0
2021-11-14,-1.0,16.3,71,1.0
2021-11-15,-2.1,16.5,83,2.3
2021-11-16,-7.6,5.0,80,0.2
2021-11-17,-7.2,7.0,77,0.5
2021-11-18,-10.4,19.4,74,0.7
2021-11-19,-14.0,16.2,72,0.0
2021-11-20,-8.0,19.1,59,0.0
2021-11-21,-6.4,18.0,62,0.0
2021-11-22,-0.2,27.1,71,1.1
2021-11-23,0.5,25.8,81,2.8
2021-11-24,-3.6,13.0,79,2.5
2021-11-25,-5.7,15.5,92,11.2
2021-11-26,-13.3,15.4,80,0.0
2021-11-27,-6.7,22.7,83,0.0
2021-11-28,-10.0,14.1,76,0.0
2021-11-29,-12.7,10.2,78,0.0
2021-11-30,-12.0,10.4,81,0.0
2021-12-01,-13.5,10.4,86,0.0
2021-12-02,-4.6,19.2,79,0.0
2021-12-03,0.3,19.2,87,3.4
2021-12-04,-3.5,16.7,89,0.0
2021-12-05,-1.7,11.7,91,0.0
2021-12-06,-3.7,11.2,90,0.5
2021-12-07,-4.6,18.1,89,1.2
2021-12-08,-20.7,8.6,82,0.0
2021-12-09,-19.9,9.6,81,0.0
2021-12-10,-10.0,12.8,80,0.1
2021-12-11,-8.9,15.5,70,0.0
2021-12-12,-12.1,12.2,85,0.0
2021-12-13,-12.5,15.1,85,0.7
2021-12-14,-12.7,11.0,85,0.4
2021-12-15,-9.0,17.0,81,0.2
2021-12-16,-4.6,18.8,83,0.4
2021-12-17,-2.4,23.1,85,0.0
2021-12-18,-2.1,16.2,91,0.1
2021-12-19,-3.7,13.8,88,0.7
2021-12-20,-1.2,15.1,92,0.7
2021-12-21,-3.2,10.4,92,0.0
2021-12-22,-3.3,25.4,90,0.0
2021-12-23,-0.1,13.6,94,0.6
2021-12-24,-5.4,16.3,85,0.4
2021-12-25,-11.8,12.6,87,0.6
2021-12-26,-8.9,5.2,90,0.5
2021-12-27,-13.4,12.9,84,1.7
2021-12-28,-10.6,16.8,79,0.0
2021-12-29,-7.3,13.3,86,0.9
2021-12-30,-19.9,13.0,82,0.0
2021-12-31,-18.7,14.8,80,0.0
2022-01-01,-18.9,8.6,81,0.0
2022-01-02,-15.4,12.3,80,0.0
2022-01-03,-7.6,13.0,86,0.0
2022-01-04,-4.0,19.4,87,1.4
2022-01-05,-12.2,12.1,81,0.0
2022-01-06,-15.9,10.7,84,0.0
2022-01-07,-11.5,11.4,87,0.0
2022-01-08,-1.6,21.5,88,3.2
2022-01-09,-3.5,24.2,86,2.2
2022-01-10,-12.1,9.9,85,0.0
2022-01-11,-16.2,13.1,85,0.0
2022-01-12,-17.2,8.6,82,0.0
2022-01-13,-16.2,9.3,83,0.0
2022-01-14,-15.9,13.7,84,0.2
2022-01-15,-7.1,25.5,84,2.4
2022-01-16,-4.1,21.8,84,2.6
2022-01-17,-5.2,19.5,81,0.0
2022-01-18,-10.7,12.6,86,0.0
2022-01-19,-14.2,5.6,88,0.0
2022-01-20,-12.1,7.5,86,0.0
2022-01-21,-13.6,10.8,85,0.0
2022-01-22,-17.6,9.2,84,0.0
2022-01-23,-18.9,8.0,82,0.0
2022-01-24,-17.4,5.6,85,0.0
2022-01-25,-15.7,10.1,84,0.0
2022-01-26,-11.1,16.3,84,2.9
2022-01-27,-12.8,8.9,86,0.0
2022-01-28,-17.0,10.0,84,0.0
2022-01-29,-17.1,16.5,78,0.0
2022-01-30,-10.0,16.8,85,0.5
2022-01-31,-7.7,16.4,86,0.0
2022-02-01,-7.0,11.7,91,0.0
2022-02-02,-12.0,6.4,90,0.1
2022-02-03,-11.7,11.9,88,0.0
2022-02-04,-14.9,15.8,83,0.0
2022-02-05,-12.6,21.8,76,0.0
2022-02-06,-11.2,22.2,67,0.0
2022-02-07,-12.6,17.6,77,0.0
2022-02-08,-9.2,12.3,88,0.0
2022-02-09,-14.0,10.4,86,0.0
2022-02-10,-22.7,11.4,82,0.0
2022-02-11,-23.9,10.8,80,0.0
2022-02-12,-17.1,22.6,82,0.7
2022-02-13,-5.8,23.5,85,2.1
2022-02-14,-8.2,17.6,86,0.4
2022-02-15,-9.8,26.9,83,3.3
2022-02-16,-15.5,19.4,82,0.1
2022-02-17,-10.5,21.7,81,0.0
2022-02-18,-8.0,21.2,81,0.0
2022-02-19,-12.4,12.1,76,0.0
2022-02-20,-11.7,18.1,79,0.0
2022-02-21,-9.4,15.6,83,0.0
2022-02-22,-6.9,11.9,85,0.1
2022-02-23,-3.8,13.9,91,1.8
2022-02-24,-4.9,17.8,87,0.0
2022-02-25,-2.1,15.3,90,2.7
2022-02-26,-5.6,12.6,96,0.0
2022-02-27,-7.1,12.5,94,0.0
2022-02-28,-12.4,8.0,90,0.0
2022-03-01,-8.7,17.8,90,0.0
2022-03-02,-6.2,19.9,87,0.0
2022-03-03,-8.4,17.0,90,0.0
2022-03-04,-9.3,12.8,89,0.0
2022-03-05,-5.5,18.7,89,0.1
2022-03-06,3.0,34.1,82,7.9
2022-03-07,0.8,35.0,79,0.9
2022-03-08,-11.0,22.7,78,0.0
2022-03-09,-12.1,10.5,82,0.0
2022-03-10,-13.3,15.5,80,0.0
2022-03-11,-13.9,17.0,81,0.0
2022-03-12,-11.9,23.1,77,0.1
2022-03-13,-10.3,26.7,76,1.1
2022-03-14,-11.7,14.8,80,0.6
2022-03-15,-10.7,8.1,85,0.7
2022-03-16,-11.0,9.1,86,0.1
2022-03-17,-14.0,5.3,88,0.0
2022-03-18,-11.5,13.2,80,0.0
2022-03-19,-11.3,8.2,88,0.0
2022-03-20,-10.5,11.6,87,0.0
2022-03-21,-7.0,21.4,77,0.0
2022-03-22,-5.4,18.5,82,2.1
2022-03-23,-4.1,26.1,86,2.8
2022-03-24,-2.8,30.8,84,1.9
2022-03-25,-3.8,17.3,85,0.0
2022-03-26,-4.0,16.8,83,0.0
2022-03-27,-4.5,16.1,88,0.2
2022-03-28,-1.5,8.2,94,0.8
2022-03-29,0.2,17.4,87,2.6
2022-03-30,0.5,29.0,84,3.5
2022-03-31,2.7,14.8,77,0.0
2022-04-01,2.2,7.5,78,0.0
2022-04-02,3.0,12.8,78,0.1
2022-04-03,5.2,13.9,76,1.0
2022-04-04,8.6,11.9,65,0.0
2022-04-05,11.7,16.1,63,0.0
2022-04-06,6.9,11.8,72,0.0
2022-04-07,3.6,5.5,68,0.0
2022-04-08,6.4,13.5,60,0.0
2022-04-09,3.2,11.6,55,0.0
2022-04-10,3.1,9.1,54,0.0
2022-04-11,4.2,16.3,51,0.0
2022-04-12,6.5,20.0,42,0.0
2022-04-13,9.0,20.3,46,0.0
2022-04-14,9.7,12.9,41,0.0
2022-04-15,11.2,9.7,41,0.0
2022-04-16,15.4,16.2,29,0.0
2022-04-17,14.7,11.2,41,0.0
2022-04-18,11.3,18.1,59,0.2
2022-04-19,7.2,14.1,43,0.0
2022-04-20,9.4,16.2,55,1.8
2022-04-21,7.9,12.8,89,9.9
2022-04-22,2.1,18.2,60,0.7
2022-04-23,1.5,13.6,51,0.0
2022-04-24,-0.8,8.3,41,0.0
2022-04-25,4.1,10.0,51,0.0
2022-04-26,8.8,11.7,51,0.1
2022-04-27,10.7,11.4,55,0.0
2022-04-28,16.0,10.7,46,0.0
2022-04-29,18.0,12.1,39,0.0
2022-04-30,19.7,11.5,30,0.0
2022-05-01,19.3,11.5,41,0.1
2022-05-02,13.6,15.2,52,0.0
2022-05-03,8.5,14.8,44,0.0
2022-05-04,9.8,13.9,33,0.0
2022-05-05,12.6,8.2,32,0.0
2022-05-06,17.1,19.0,35,0.0
2022-05-07,9.2,17.9,34,0.0
2022-05-08,9.2,7.2,37,0.0
2022-05-09,13.3,10.7,40,0.0
2022-05-10,13.9,19.2,32,0.0
2022-05-11,12.6,13.2,29,0.0
2022-05-12,16.4,7.1,42,0.0
2022-05-13,18.8,7.8,39,0.0
2022-05-14,20.7,11.8,36,0.2
2022-05-15,20.0,14.2,48,0.9
2022-05-16,20.3,12.1,45,0.4
2022-05-17,23.1,16.3,34,0.0
2022-05-18,20.5,9.6,49,1.2
2022-05-19,19.0,17.8,53,0.1
2022-05-20,18.8,16.7,35,0.0
2022-05-21,22.5,16.3,36,0.0
2022-05-22,20.6,20.7,36,0.0
2022-05-23,16.2,12.1,36,0.0
2022-05-24,20.1,11.6,31,0.0
2022-05-25,23.1,14.6,28,0.0
2022-05-26,24.7,11.0,33,0.0
2022-05-27,24.8,13.9,36,0.0
2022-05-28,20.2,15.8,45,0.5
2022-05-29,19.4,13.8,52,10.9
2022-05-30,22.9,12.4,38,0.0
2022-05-31,19.5,14.2,59,4.9
2022-06-01,13.8,25.6,66,1.7
2022-06-02,15.8,18.1,45,0.4
2022-06-03,16.0,9.6,51,1.0
2022-06-04,12.4,12.2,44,0.4
2022-06-05,11.5,17.2,61,19.2
2022-06-06,14.9,7.9,54,0.1
2022-06-07,18.1,12.7,44,0.0
2022-06-08,22.4,20.1,36,0.0
2022-06-09,25.0,15.8,37,0.0
2022-06-10,26.8,12.3,39,1.8
2022-06-11,25.1,14.9,44,1.0
2022-06-12,24.0,14.1,36,0.0
2022-06-13,25.8,11.8,39,0.1
2022-06-14,22.0,13.9,53,0.7
2022-06-15,18.7,14.9,61,0.2
2022-06-16,18.3,13.5,64,6.4
2022-06-17,20.7,14.6,52,0.0
2022-06-18,21.7,9.3,50,0.0
2022-06-19,21.2,8.7,61,0.9
2022-06-20,23.5,7.7,52,0.0
2022-06-21,25.4,15.1,46,3.7
2022-06-22,23.7,15.3,52,4.8
2022-06-23,24.8,18.2,42,0.0
2022-06-24,24.9,9.3,49,0.0
2022-06-25,28.2,12.2,46,0.1
2022-06-26,27.6,19.2,41,0.7
2022-06-27,20.0,17.8,61,9.2
2022-06-28,18.7,12.7,51,0.0
2022-06-29,20.3,18.2,48,0.3
2022-06-30,16.0,18.5,45,0.0
2022-07-01,18.0,16.3,45,0.0
2022-07-02,18.1,13.1,58,0.2
2022-07-03,19.2,10.0,57,0.0
2022-07-04,22.8,16.2,44,0.6
2022-07-05,20.7,13.3,59,4.0
2022-07-06,18.6,19.2,68,3.1
2022-07-07,20.7,12.4,62,1.0
2022-07-08,20.3,18.6,74,31.2
2022-07-09,20.6,15.6,74,1.0
2022-07-10,23.4,12.4,55,0.0
2022-07-11,25.1,16.0,51,0.0
2022-07-12,23.5,19.1,45,0.0
2022-07-13,21.4,14.8,49,0.0
2022-07-14,20.7,7.0,63,1.5
2022-07-15,23.0,10.7,67,3.4
2022-07-16,22.6,7.5,74,0.4
2022-07-17,22.9,16.8,68,8.9
2022-07-18,20.6,12.6,50,0.0
2022-07-19,21.1,12.0,51,0.0
2022-07-20,22.6,9.9,52,4.4
2022-07-21,24.3,21.4,55,1.3
2022-07-22,21.8,17.9,51,0.5
2022-07-23,21.8,9.0,52,0.1
2022-07-24,19.2,13.4,58,0.2
2022-07-25,20.9,6.7,52,0.0
2022-07-26,24.2,8.2,45,0.0
2022-07-27,27.0,19.4,36,0.0
2022-07-28,25.6,19.4,48,0.5
2022-07-29,23.6,12.7,66,7.9
2022-07-30,21.2,6.1,83,10.3
2022-07-31,20.1,7.2,84,8.5
2022-08-01,20.5,9.7,83,8.0
2022-08-02,18.3,11.2,76,0.8
2022-08-03,20.7,13.3,63,1.0
2022-08-04,20.4,14.7,51,0.0
2022-08-05,20.4,13.9,50,0.0
2022-08-06,21.8,8.9,49,0.0
2022-08-07,21.4,9.3,62,0.6
2022-08-08,20.0,7.8,77,12.2
2022-08-09,20.4,12.4,75,2.0
2022-08-10,19.0,10.6,82,16.1
2022-08-11,19.0,9.3,85,10.9
2022-08-12,20.3,9.9,83,2.3
2022-08-13,19.7,14.9,72,4.6
2022-08-14,19.6,16.4,57,0.0
2022-08-15,16.5,12.2,60,0.0
2022-08-16,14.4,11.1,59,0.0
2022-08-17,13.5,12.9,67,9.7
2022-08-18,11.8,14.8,69,0.9
2022-08-19,11.5,16.2,79,4.4
2022-08-20,14.3,8.8,69,0.0
2022-08-21,15.3,8.4,66,0.0
2022-08-22,13.9,10.8,70,0.2
2022-08-23,15.4,11.1,58,0.0
2022-08-24,16.3,11.1,57,0.0
2022-08-25,17.6,8.4,65,0.0
2022-08-26,19.2,9.8,64,0.1
2022-08-27,18.8,13.4,62,0.0
2022-08-28,15.1,8.2,57,0.0
2022-08-29,16.8,9.1,57,0.0
2022-08-30,19.2,9.4,53,0.0
2022-08-31,21.2,9.0,51,0.0
2022-09-01,23.6,12.9,44,0.0
2022-09-02,21.5,9.3,59,0.0
2022-09-03,24.4,13.5,47,0.0
2022-09-04,21.6,14.8,41,0.0
2022-09-05,18.1,7.6,45,0.0
2022-09-06,24.2,13.1,36,0.0
2022-09-07,22.2,25.9,35,0.1
2022-09-08,14.0,13.6,48,0.0
2022-09-09,14.3,9.9,43,0.0
2022-09-10,15.9,9.3,37,0.0
2022-09-11,15.1,19.6,51,3.3
2022-09-12,10.5,20.1,68,0.5
2022-09-13,9.9,6.6,61,0.0
2022-09-14,10.2,10.6,58,0.0
2022-09-15,11.5,7.1,53,0.0
2022-09-16,10.2,12.4,53,0.0
2022-09-17,11.1,12.0,50,0.0
2022-09-18,11.4,7.8,52,0.0
2022-09-19,12.1,6.2,52,0.0
2022-09-20,15.1,9.0,49,0.0
2022-09-21,18.4,6.8,55,0.0
2022-09-22,20.5,6.5,49,0.0
2022-09-23,19.1,10.4,46,0.0
2022-09-24,17.5,9.5,42,0.0
2022-09-25,21.0,13.8,36,0.0
2022-09-26,11.7,15.2,75,0.4
2022-09-27,9.7,12.9,81,5.4
2022-09-28,3.0,17.7,75,2.1
2022-09-29,0.7,17.9,62,0.5
2022-09-30,1.2,14.9,60,0.0
2022-10-01,3.2,10.9,58,0.0
2022-10-02,3.2,8.1,57,0.0
2022-10-03,3.1,11.8,57,0.0
2022-10-04,3.4,9.2,60,0.0
2022-10-05,7.3,10.8,54,0.0
2022-10-06,10.8,10.0,48,0.0
2022-10-07,12.9,10.8,44,0.0
2022-10-08,15.1,15.8,40,0.0
2022-10-09,9.8,20.7,66,0.9
2022-10-10,8.6,15.3,70,0.3
2022-10-11,9.7,14.2,60,0.0
2022-10-12,9.8,8.6,65,0.0
2022-10-13,9.2,14.1,70,0.0
2022-10-14,9.1,17.4,50,0.0
2022-10-15,9.1,6.7,58,0.0
2022-10-16,10.5,11.6,60,1.1
2022-10-17,7.7,18.3,75,1.1
2022-10-18,5.2,13.1,79,0.8
2022-10-19,6.3,14.3,64,0.4
2022-10-20,8.1,20.0,77,3.6
2022-10-21,11.3,18.7,56,0.1
2022-10-22,13.2,23.8,45,2.8
2022-10-23,4.4,29.2,69,2.4
2022-10-24,1.4,13.2,60,0.1
2022-10-25,-0.4,10.6,66,0.0
2022-10-26,1.3,12.2,68,0.1
2022-10-27,3.1,21.8,84,3.1
2022-10-28,-1.6,16.1,71,0.3
2022-10-29,-3.0,10.2,69,0.0
2022-10-30,-0.6,13.0,64,0.0
2022-10-31,1.3,7.2,70,0.5
2022-11-01,2.1,11.4,83,0.0
2022-11-02,4.6,19.5,76,0.0
2022-11-03,3.1,15.0,70,0.2
2022-11-04,2.8,17.6,81,0.0
2022-11-05,2.3,19.9,67,0.9
2022-11-06,0.5,20.8,60,0.0
2022-11-07,0.4,8.2,68,0.0
2022-11-08,-0.2,3.7,78,1.5
2022-11-09,-0.8,12.0,80,0.4
2022-11-10,0.1,15.8,79,0.2
2022-11-11,0.1,17.4,85,2.0
2022-11-12,0.0,22.6,89,5.5
2022-11-13,1.2,25.7,86,2.0
2022-11-14,1.8,22.7,81,3.2
2022-11-15,3.1,27.2,78,3.9
2022-11-16,-1.4,22.9,69,1.5
2022-11-17,-5.9,17.2,64,0.8
2022-11-18,-9.1,5.5,69,0.0
2022-11-19,-6.7,12.3,73,0.7
2022-11-20,-10.6,9.4,68,0.0
2022-11-21,-10.2,9.4,75,0.0
2022-11-22,-7.3,16.0,80,0.0
2022-11-23,-13.6,13.2,74,0.0
2022-11-24,-14.7,11.2,75,0.0
2022-11-25,-11.6,19.2,76,1.8
2022-11-26,-23.6,15.3,69,0.0
2022-11-27,-24.8,5.8,70,0.0
2022-11-28,-26.5,9.7,72,0.0
2022-11-29,-25.5,9.8,69,0.0
2022-11-30,-20.9,13.7,69,0.0
2022-12-01,-18.8,15.3,71,0.0
2022-12-02,-16.3,11.7,76,0.0
2022-12-03,-15.5,8.0,79,0.0
2022-12-04,-16.7,8.5,78,2.0
2022-12-05,-17.7,8.8,81,1.5
2022-12-06,-19.7,5.8,82,0.0
2022-12-07,-24.1,5.7,78,0.0
2022-12-08,-25.0,7.9,76,0.0
2022-12-09,-25.2,10.1,78,0.0
2022-12-10,-15.9,17.4,77,1.6
2022-12-11,-11.3,16.9,79,1.7
2022-12-12,-10.4,15.4,81,2.1
2022-12-13,-7.5,21.7,85,4.0
2022-12-14,-27.0,8.5,77,0.0
